213;Princesse Tsiribihina;71
214;Raphia Hotel;53
215;Ravintsara;82
216;Ravoraha Lodge;96
217;Relais d'Ankarana;33
218;Relais de la Reine;92
219;Relais des Plateaux;53
220;Relais du Kirindy;54
221;Relais du Sud-Est;99
222;Relais du Sud-sud (Chez Alain);52
223;Relais Montagne d' Ambre ;72
224;Renala/Sable d'Or;74
225;Rênes de l'Isalo;92
226;Résidence Lapasoa;101
227;Résidence Madalief;38
228;Résidence Manakara;63
229;Riake Resort & Villa;96
230;Royal Beach;82
231;Safari Vezo;24
232;Saha Forest Camp;30
233;Sahatandra Hotel;26
234;Sakamanga;101
235;Sakatia Lodge;87
236;Salary Bay;97
237;Samaria Lodge;96
238;Sambatra Beach Lodge;51
239;Sangany Lodge;82
240;Sarimanok;82
241;Satrana;92
242;Setam Lodge;93
243;Shangri La Lodge;19
244;Soa Guest House;93
245;Soa Guesthouse;38
246;Soaland Chalets;25
247;Soanambo;96
248;Sofia Belle Vue;39
249;Souimanga Hotel;38
250;Sous le Soleil de Mada;37
251;Suarez;45
252;Susie's Place;53
253;Talinjoo;48
254;Tana Hotel;101
255;Tanankoay;40
256;Tattersali;44
257;Tia City;32
258;Toiles de l'Isalo;92
259;Trianon;38
260;Tsara Camp;102
261;Tsara Komba;85
262;Tsarasoa;102
263;Tsienimparihy Lodge;17
264;Vahiny Lodge;66
265;Vakona Lodge;26
266;Vanila Hotel & Spa;82
267;Vezo Homestay;27
268;Victory;104
269;Villa Milahehe Mitongoa;52
270;Villa Sakina;82
271;Villa Sylvestre;47
272;Villa Valiha;82
273;Villas de Vohilava;96
274;Vohimana;75
275;Zazamalala;78
